Time_s_Ex	Time_s_Rt	Defl_nm_Ex	Defl_nm_Rt	Defl_pN_Ex	Defl_pN_Rt	Defl_nm_Ex	Defl_nm_Rt	Defl_pN_Ex	Defl_pN_Rt	
9.195589e-002	5.773328e-001	-4.843617e+000	-4.919299e+000	-2.398400e+002	-2.435874e+002	-4.843617e+000	-4.919299e+000	-2.398400e+002	-2.435874e+002	
9.290389e-002	5.782808e-001	-4.824697e+000	-5.127423e+000	-2.389031e+002	-2.538931e+002	-4.824697e+000	-5.127423e+000	-2.389031e+002	-2.538931e+002	
9.385189e-002	5.792288e-001	-4.824697e+000	-4.994980e+000	-2.389031e+002	-2.473349e+002	-4.824697e+000	-4.994980e+000	-2.389031e+002	-2.473349e+002	
9.479988e-002	5.801768e-001	-4.938220e+000	-5.222025e+000	-2.445243e+002	-2.585775e+002	-4.938220e+000	-5.222025e+000	-2.445243e+002	-2.585775e+002	
9.574788e-002	5.811248e-001	-5.297707e+000	-5.032821e+000	-2.623250e+002	-2.492087e+002	-5.297707e+000	-5.032821e+000	-2.623250e+002	-2.492087e+002	
9.669588e-002	5.820729e-001	-4.900379e+000	-4.786856e+000	-2.426506e+002	-2.370293e+002	-4.900379e+000	-4.786856e+000	-2.426506e+002	-2.370293e+002	
9.764387e-002	5.830209e-001	-4.786856e+000	-4.976060e+000	-2.370293e+002	-2.463981e+002	-4.786856e+000	-4.976060e+000	-2.370293e+002	-2.463981e+002	
9.859187e-002	5.839689e-001	-4.994980e+000	-5.089582e+000	-2.473349e+002	-2.520193e+002	-4.994980e+000	-5.089582e+000	-2.473349e+002	-2.520193e+002	
9.953987e-002	5.849169e-001	-4.919299e+000	-5.070662e+000	-2.435874e+002	-2.510824e+002	-4.919299e+000	-5.070662e+000	-2.435874e+002	-2.510824e+002	
1.004879e-001	5.858649e-001	-4.824697e+000	-4.976060e+000	-2.389031e+002	-2.463981e+002	-4.824697e+000	-4.976060e+000	-2.389031e+002	-2.463981e+002	
1.014359e-001	5.868129e-001	-5.089582e+000	-4.881458e+000	-2.520193e+002	-2.417137e+002	-5.089582e+000	-4.881458e+000	-2.520193e+002	-2.417137e+002	
1.023839e-001	5.877609e-001	-4.692255e+000	-5.108503e+000	-2.323450e+002	-2.529562e+002	-4.692255e+000	-5.108503e+000	-2.323450e+002	-2.529562e+002	
1.033319e-001	5.887089e-001	-4.900379e+000	-4.862538e+000	-2.426506e+002	-2.407768e+002	-4.900379e+000	-4.862538e+000	-2.426506e+002	-2.407768e+002	
1.042799e-001	5.896569e-001	-4.767936e+000	-4.976060e+000	-2.360925e+002	-2.463981e+002	-4.767936e+000	-4.976060e+000	-2.360925e+002	-2.463981e+002	
1.052279e-001	5.906050e-001	-4.843617e+000	-4.938220e+000	-2.398400e+002	-2.445243e+002	-4.843617e+000	-4.938220e+000	-2.398400e+002	-2.445243e+002	
1.061758e-001	5.915530e-001	-4.957139e+000	-4.767936e+000	-2.454612e+002	-2.360925e+002	-4.957139e+000	-4.767936e+000	-2.454612e+002	-2.360925e+002	
1.071238e-001	5.925010e-001	-4.976060e+000	-4.919299e+000	-2.463981e+002	-2.435874e+002	-4.976060e+000	-4.919299e+000	-2.463981e+002	-2.435874e+002	
1.080718e-001	5.934490e-001	-4.900379e+000	-5.051742e+000	-2.426506e+002	-2.501456e+002	-4.900379e+000	-5.051742e+000	-2.426506e+002	-2.501456e+002	
1.090198e-001	5.943970e-001	-5.070662e+000	-4.976060e+000	-2.510824e+002	-2.463981e+002	-5.070662e+000	-4.976060e+000	-2.510824e+002	-2.463981e+002	
1.099678e-001	5.953450e-001	-4.767936e+000	-4.843617e+000	-2.360925e+002	-2.398400e+002	-4.767936e+000	-4.843617e+000	-2.360925e+002	-2.398400e+002	
1.109158e-001	5.962930e-001	-4.824697e+000	-4.919299e+000	-2.389031e+002	-2.435874e+002	-4.824697e+000	-4.919299e+000	-2.389031e+002	-2.435874e+002	
1.118638e-001	5.972410e-001	-4.767936e+000	-4.692255e+000	-2.360925e+002	-2.323450e+002	-4.767936e+000	-4.692255e+000	-2.360925e+002	-2.323450e+002	
1.128118e-001	5.981891e-001	-4.786856e+000	-4.881458e+000	-2.370293e+002	-2.417137e+002	-4.786856e+000	-4.881458e+000	-2.370293e+002	-2.417137e+002	
1.137598e-001	5.991371e-001	-4.994980e+000	-4.805777e+000	-2.473349e+002	-2.379662e+002	-4.994980e+000	-4.805777e+000	-2.473349e+002	-2.379662e+002	
1.147078e-001	6.000851e-001	-4.919299e+000	-5.146344e+000	-2.435874e+002	-2.548299e+002	-4.919299e+000	-5.146344e+000	-2.435874e+002	-2.548299e+002	
1.156558e-001	6.010331e-001	-4.805777e+000	-4.957139e+000	-2.379662e+002	-2.454612e+002	-4.805777e+000	-4.957139e+000	-2.379662e+002	-2.454612e+002	
1.166038e-001	6.019811e-001	-5.222025e+000	-5.165264e+000	-2.585775e+002	-2.557668e+002	-5.222025e+000	-5.165264e+000	-2.585775e+002	-2.557668e+002	
1.175518e-001	6.029291e-001	-4.938220e+000	-4.824697e+000	-2.445243e+002	-2.389031e+002	-4.938220e+000	-4.824697e+000	-2.445243e+002	-2.389031e+002	
1.184998e-001	6.038771e-001	-4.994980e+000	-4.824697e+000	-2.473349e+002	-2.389031e+002	-4.994980e+000	-4.824697e+000	-2.473349e+002	-2.389031e+002	
1.194478e-001	6.048251e-001	-5.089582e+000	-4.730095e+000	-2.520193e+002	-2.342187e+002	-5.089582e+000	-4.730095e+000	-2.520193e+002	-2.342187e+002	
